eng,dua
Do we not find it encouraging to consider the range of problems that our fellow believers have faced and that they have overcome by means of God 's Word ?,"( 1 Kor . 5 : 1 - 5 ; 2 Kor . 2 : 5 - 8 ) Mo ̱ , di mombwea te ̱ ńai na ńai a mitakisan bonasango asu ba lembe ̱ no ̱ , ba bukino ̱ pe ̱ na jongwane ̱ l 'Eyal 'a Loba , nik 'e si membe ̱ biso ̱ e ?"
The apostles Paul and Peter also exhorted Christians to be hospitable to one another .,"( Bebolo 11 : 28 , 29 ) Bamuloloma Paulo na Petro pe ̱ bome ̱ le ̱ Kriste ̱ n ná i to ̱ nde jesane ̱ mō ̱ na nune ̱ ka be ̱ n . ( Rom ."
"They cared for the spiritual needs of God 's people , stating : "" We will devote ourselves to prayer and to the ministry of the word . ""","( Bebolo 4 : 34 , 35 ) Ba ta bombwea ńo ̱ ng 'a mudī ńa tumba la Loba , ba kwala ná : "" Biso ̱ di matingame ̱ o kane ̱ na o ebol 'eyala . """
"He described these desirable qualities as forming a whole - "" the fruitage of the spirit . ""","( Gal . 5 : 22 , 23 ) A to ̱ pedi ońola be bede ̱ mo biana be nde ewo ̱ - "" epum 'a mudī . "" ("
"At first glance , we might conclude that Eliphaz and Bildad displayed a humble attitude .",( Hiob 4 : 19 ; 25 : 6 ) O dibokime ̱ ne ̱ je ná di kwala ná Elifas na Bilda ba lee ̱ le ̱ sibise ̱ la ńolo .
"( Read 1 Peter 3 : 20 , 21 . )","( Langa 1 Petro 3 : 20 , 21 . )"
( a ) How serious is it to make a vow to God ?,( a ) Mo ̱ njika mweńa bola la Loba kakane ̱ leno ̱ e ?
( b ) How did God 's Word affect the leaders of God 's people ?,( b ) Nje Eyal 'a Loba e die ̱ le ̱ no ̱ badiedi ba tumba la Loba o bola e ?
( b ) What questions will we answer in this study ?,( b ) Njika myuedi di me ̱ nde ̱ no ̱ jalabe ̱ o din jokwa e ?
"14 , 15 . ( a ) What is outstanding about David 's patience ?","14 , 15 . ( a ) Nje jeno ̱ ná di so ̱ ṅtane ̱ jombwea we ̱ lisane ̱ la David e ?"
"Later , her son got sick and died . Elijah came to her aid .","17 : 8 - 16 ) Ombusa ponda na mun 'ao a ko ̱ diboa , a wo ̱ ."
Elders too should take time to do research .,21 : 9 - 12 ) Batudu pe ̱ bangame ̱ n no ̱ ngo ̱ ponda o po ̱ ngo ̱ muwaso .
"However , the costs always outweigh any seeming benefits that Satan may offer . - Job 21 : 7 - 17 ; Gal .","3 : 22 ) Nde , o ponda ye ̱ se ̱ , musawedi mu buki eladingo ̱ m a bonam Satan eno ̱ ná a bola . - Hiob 21 : 7 - 17 ; Gal ."
"He used an opportunity to do so when a scribe asked : "" Who really is my neighbor ? ""","A lee ̱ le ̱ nika ponda mubied 'a mbenda mō ̱ a baise ̱ no ̱ mo ̱ ná : "" Nja e munasango am e ? """
Did Arthur have a sharp pocketknife ?,Artur a ta so ̱ alea diwe ̱ ndi di woli o mukuta mao e ?
"They are ready even to die for one another . ""","Ba le ̱ le ̱ m na mo ̱ me ̱ ne ̱ o wo ̱ ońola mō ̱ na nune ̱ . """
They did not have to worry about interference from their enemies .,Ba ta ba bia ná ba s 'angame ̱ n bwa basingedi babu bo ̱ ngo ̱ .
Some of the names in this article have been changed .,Ba wengisane ̱ mina mō ̱ o din jokwa .
Be assured that Jehovah treasures your efforts to uphold his sovereignty by your faithful service and endurance of trials .,"Be ̱ mbaki ná Yehova a me ̱ ne ̱ miwe ̱ n m 'ebol 'ango ̱ ya jemea , lembe ̱ lo ̱ ngo ̱ la mitakisan na nje ye ̱ se ̱ o mabolano ̱ o sue ̱ le ̱ byanedi bao basam , a mabwane ̱ pe ̱ mo ̱ muńe ̱ nge ̱ . ( Mye ."
Give examples of how some are showing faithfulness in their use of unrighteous riches .,Bola byembilan ba ne ̱ ni bō ̱ ba lee ̱ le ̱ no ̱ jemea labu tongwea na bolane ̱ labu la bema ba wase be si te ̱ m na sim .
"There was excitement at the 2016 annual meeting of the Watch Tower Bible and Tract Society of Pennsylvania when Brother Stephen Lett of the Governing Body announced that a new songbook , entitled "" Sing Out Joyfully "" to Jehovah , would soon be available for use at the meetings .","Bukedi be ̱ se ̱ ba ta ba pukume ̱ ye ̱ na muńe ̱ nge ̱ o ndongame ̱ n a mbu ńa Watch Tower Bible and Tract Society of Pennsylvania ńa 2016 ponda munasango Stephen Lett ńa Dibe ̱ le ̱ di Madie ̱ le ̱ a bolino ̱ bobia ná kalat 'a myenge ńa peńa Lo ̱ ngea Yehova na muńe ̱ nge ̱ , e busisabe ̱ o bolane ̱ o ndongame ̱ n ."
Some hesitate to extend a greeting out of shyness or low self - worth .,Bō ̱ ba si mawe ̱ le ̱ soma bane ̱ ońolana be iso ̱ n to ̱ so ̱ ba si be ̱ ne ̱ ne ̱ babo ̱ mo ̱ me ̱ ne ̱ lakisane ̱ .
It offers a considerable amount of comfort .,Di mawana lo ̱ ko ̱ mea dinde ̱ ne ̱ .
Let us remember that it is Jehovah 's humility and not our own ability that ' makes us great . ',"Di si dimbea so ̱ ná sibise ̱ la ńolo la Yehova nde di "" matimbise ̱ [ biso ̱ ] bonde ̱ ne ̱ , "" seto ̱ dibie ̱ to ̱ ngud 'asu ."
Meditate on it .,Dutea ońol 'ao .
